date,category,description,amount,type
2025-01-17,Housing,Property maintenance,1383.0,expense
2025-01-28,Food,Grocery shopping,361.2,expense
2025-01-09,Food,Restaurant dinner,116.16,expense
2025-01-26,Food,Lunch at work,70.5,expense
2025-01-05,Transportation,Car payment,291.6,expense
2025-01-07,Transportation,Fuel,91.8,expense
2025-01-08,Transportation,Public transit,49.4,expense
2025-01-24,Utilities,Electricity bill,117.12,expense
2025-01-24,Utilities,Water bill,58.2,expense
2025-01-09,Utilities,Internet service,79.84,expense
2025-01-15,Entertainment,Movie tickets,26.35,expense
2025-01-23,Entertainment,Concert tickets,76.32,expense
2025-01-20,Entertainment,Streaming services,31.68,expense
2025-01-14,Healthcare,Doctor visit,106.8,expense
2025-01-24,Healthcare,Prescription medication,41.04,expense
2025-01-05,Healthcare,Health insurance,203.2,expense
2024-12-11,Housing,Rent payment,1542.0,expense
2024-12-09,Housing,Home insurance,1529.6,expense
2024-12-10,Housing,Property maintenance,1584.0,expense
2024-12-22,Food,Grocery shopping,380.8,expense
2024-12-08,Food,Restaurant dinner,118.32,expense
2024-12-18,Food,Lunch at work,70.8,expense
2024-12-12,Transportation,Car payment,304.2,expense
2024-12-25,Transportation,Fuel,89.25,expense
2024-12-20,Transportation,Public transit,52.5,expense
2024-12-19,Utilities,Electricity bill,112.8,expense
2024-12-17,Utilities,Water bill,60.24,expense
2024-12-10,Utilities,Internet service,82.24,expense
2024-12-02,Entertainment,Movie tickets,24.1,expense
2024-12-17,Entertainment,Concert tickets,77.12,expense
2024-12-15,Entertainment,Streaming services,28.56,expense
2024-12-26,Healthcare,Doctor visit,107.6,expense
2024-12-26,Healthcare,Prescription medication,42.24,expense
2024-12-16,Healthcare,Health insurance,212.8,expense
2024-11-15,Housing,Rent payment,1500.0,expense
2024-11-19,Housing,Home insurance,1750.4,expense
2024-11-23,Housing,Property maintenance,1629.0,expense
2024-11-04,Food,Grocery shopping,342.3,expense
2024-11-04,Food,Restaurant dinner,126.48,expense
2024-11-20,Food,Lunch at work,67.8,expense
2024-11-04,Transportation,Car payment,321.0,expense
2024-11-22,Transportation,Fuel,88.91,expense
2024-11-14,Transportation,Public transit,54.2,expense
2024-11-12,Utilities,Electricity bill,130.56,expense
2024-11-03,Utilities,Water bill,61.92,expense
2024-11-03,Utilities,Internet service,72.64,expense
2024-11-25,Entertainment,Movie tickets,26.2,expense
2024-11-26,Entertainment,Concert tickets,76.32,expense
2024-11-06,Entertainment,Streaming services,32.1,expense
2024-11-01,Healthcare,Doctor visit,106.6,expense
2024-11-03,Healthcare,Prescription medication,43.12,expense
2024-11-22,Healthcare,Health insurance,208.8,expense
2024-10-17,Housing,Rent payment,1617.0,expense
2024-10-20,Housing,Home insurance,1449.6,expense
2024-10-24,Housing,Property maintenance,1488.0,expense
2024-10-11,Food,Grocery shopping,364.7,expense
2024-10-01,Food,Restaurant dinner,124.56,expense
2024-10-26,Food,Lunch at work,75.9,expense
2024-10-14,Transportation,Car payment,280.8,expense
2024-10-16,Transportation,Fuel,88.91,expense
2024-10-09,Transportation,Public transit,46.0,expense
2024-10-16,Utilities,Electricity bill,117.6,expense
2024-10-12,Utilities,Water bill,54.0,expense
2024-10-12,Utilities,Internet service,77.28,expense
2024-10-06,Entertainment,Movie tickets,25.4,expense
2024-10-21,Entertainment,Concert tickets,80.32,expense
2024-10-19,Entertainment,Streaming services,28.92,expense
2024-10-04,Healthcare,Doctor visit,101.8,expense
2024-10-24,Healthcare,Prescription medication,41.04,expense
2024-10-04,Healthcare,Health insurance,213.6,expense
